prop_type,purpose,covered_area,price,location,beds,baths,amenities
Upper Portion,For Sale,150,15500000,"Gulistan-e-Jauhar, Karachi, Sindh",4,4,"Built in year: 2025
Double Glazed Windows
Flooring
Electricity Backup
Floors: 1
Furnished,Bedrooms: 4
Bathrooms: 4
Dining Room
Kitchens: 1
Lounge or Sitting Room"
House,For Sale,240,49500000,"Gulistan-e-Jauhar, Karachi, Sindh",6,6,"Built in year: 2
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Floors: 2
Furnished,Bedrooms: 6
Bathrooms: 6
Drawing Room
Dining Room
Kitchens: 2
Powder Room,,,,"
House,For Sale,240,59800000,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,"Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Nearby Public Transport Service
Other Nearby Places"
House,For Sale,120,23500000,"Scheme 33, Karachi, Sindh",4,6,"Built in year: 2025
Parking Spaces
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors
Other Main Features
Furnished,Bedrooms: 5
Bathrooms: 6
Servant Quarters: 2,,,,,"
House,For Sale,200,35000000,"Scheme 33, Karachi, Sindh",5,6,"Double Glazed Windows
Central Air Conditioning
Central Heating
Waste Disposal
Furnished,Bedrooms: 5
Bathrooms: 6
Drawing Room
Dining Room
Study Room
Prayer Room
Powder Room
Gym
Steam Room,,,,"
Flat,For Sale,277,37500000,"DHA Defence, Karachi, Sindh",4,4,"Parking Spaces
Lobby in Building
Double Glazed Windows
Flooring
Electricity Backup
Waste Disposal
Floor
Elevators
Other Main Features,Bedrooms: 4
Bathrooms: 4
Drawing Room
Dining Room
Kitchens
Study Room,,,,"
Flat,For Sale,239,32500000,"DHA Defence, Karachi, Sindh",3,3,"Parking Spaces
Lobby in Building
Double Glazed Windows
Flooring
Electricity Backup
Waste Disposal
Floor
Elevators
Other Main Features,Bedrooms: 3
Bathrooms: 3
Drawing Room
Dining Room
Kitchens
Study Room,,,,"
Flat,For Sale,102,8500000,"North Karachi, Karachi, Sindh",2,2,"Built in year: 1995
Parking Spaces
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 1
Floors in Building: 4
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
Flat,For Sale,289,33000000,"North Nazimabad, Karachi, Sindh",3,3,"Built in year: 2022
Parking Spaces
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building: 22
Elevators: 4
Service Elevators in Building
Other Main Features
Furnished,,,,,"
House,For Sale,500,105000000,"DHA Defence, Karachi, Sindh",5,5,"Built in year: 1995
Parking Spaces: 3
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features
Furnished,Bedrooms: 5
Bathrooms: 5
Servant Quarters: 2,,,,,"
House,For Sale,375,65500000,"Cantt, Karachi, Sindh",5,5,"Built in year: 2010
Parking Spaces: 2
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features,Bedrooms: 5
Bathrooms: 5
Servant Quarters: 1,,,,,"
Flat,For Sale,356,15700000,"Cantt, Karachi, Sindh",3,3,"Built in year: 2025
Parking Spaces: 1
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors in Building
Elevators
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
House,For Sale,300,130000000,"DHA Defence, Karachi, Sindh",6,6,"Built in year: 2020
Parking Spaces: 1
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features,Bedrooms: 6
Bathrooms: 7
Drawing Room,,"
House,For Sale,180,32000000,"Gulistan-e-Jauhar, Karachi, Sindh",4,4,"Parking Spaces: 1
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features,Bedrooms: 4
Bathrooms: 4
Servant Quarters: 1
Drawing Room
Dining Room
Kitchens: 2,,,,,"
House,For Sale,135,36500000,"Gulistan-e-Jauhar, Karachi, Sindh",4,4,"Built in year
Parking Spaces
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors
Other Main Features
Furnished,Bedrooms
Bathrooms: 4
Servant Quarters: 3,,,,,"
House,For Sale,350,92500000,"Gulshan-e-Iqbal Town, Karachi, Sindh",7,6,"Built in year
Parking Spaces
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors
Other Main Features
Furnished,Bedrooms: 7
Bathrooms: 6
Servant Quarters,,,,,"
Flat,For Sale,300,31500000,"Gulistan-e-Jauhar, Karachi, Sindh",4,4,"Built in year: 2012
Parking Spaces
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building
Elevators
Other Main Features
Furnished,,,,,,"
House,For Sale,500,78000000,"DHA Defence, Karachi, Sindh",6,6,"Built in year: 2025
Parking Spaces
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors
Other Main Features
Furnished,Bedrooms: 1
Bathrooms: 1
Servant Quarters: 2,,,,,"
Flat,For Sale,167,26500000,"Gulistan-e-Jauhar, Karachi, Sindh",3,4,"Built in year: 2020
Parking Spaces: 1
Double Glazed Windows
Central Air Conditioning
Flooring
Electricity Backup
Waste Disposal
Floor: 6
Floors in Building: 8
Elevators: 1,Bedrooms: 2
Bathrooms: 3
Servant Quarters: 1,,,,,"
Flat,For Sale,183,17500000,"Scheme 33, Karachi, Sindh",3,4,"Built in year: 2022
Parking Spaces
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building
Elevators
Other Main Features
Furnished,,,,,"
House,For Sale,666,400000000,"DHA Defence, Karachi, Sindh",7,6,"Built in year: 2025
Parking Spaces: 4
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 3
Other Main Features
Furnished,Bedrooms: 6
Bathrooms: 7
Servant Quarters: 2,,,,,"
House,For Sale,500,200000000,"DHA Defence, Karachi, Sindh",6,6,"Built in year: 2025
Parking Spaces: 3
Double Glazed Windows
Flooring
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features
Furnished,Bedrooms: 6
Bathrooms: 6
Servant Quarters: 2
Drawing Room
Dining Room
Kitchens,,,"
House,For Sale,235,12000000,"Bahria Town Karachi, Karachi, Sindh",3,3,"Built in year: 2025
Parking Spaces: 2
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 1
Other Main Features
Furnished,Bedrooms: 3
Bathrooms: 3
Servant Quarters: 1,,,,,"
House,For Sale,200,15500000,"Bahria Town Karachi, Karachi, Sindh",3,3,"Double Glazed Windows
Central Air Conditioning
Central Heating
Waste Disposal
Furnished,Bedrooms: 3
Bathrooms: 3
Drawing Room
Dining Room
Kitchens
Study Room
Prayer Room
Powder Room
Gym,,,,,"
